epoch,avg_reward,avg_quality_score,success_rate,complete_core_deployment_rate,sla_satisfaction_rate,full_sla_satisfaction_rate,dependency_satisfaction_rate,resource_balance_score,link_congestion_score,business_balance_score,placement_resource_score,placement_business_score,future_feasibility_score,used_link_congestion_score,random_baseline_win_rate,avg_episode_delay_ms,avg_algorithm_latency_ms,p95_algorithm_latency_ms,resource_fail_count,total_requests,updated_episodes,actor_hit_rate,fallback_count,epoch_time_s,epsilon,reliability_scale,strict_reliability_prob,top_failure_reasons,eval_epoch,eval_avg_reward,eval_avg_quality_score,eval_success_rate,eval_dependency_satisfaction_rate,eval_resource_balance_score,eval_link_congestion_score,eval_business_balance_score,eval_placement_resource_score,eval_placement_business_score,eval_future_feasibility_score,eval_used_link_congestion_score,eval_avg_episode_delay_ms,eval_avg_algorithm_latency_ms,eval_p95_algorithm_latency_ms,eval_total_requests,eval_actor_hit_rate,eval_fallback_count,eval_top_failure_reasons,imitation_coef,entropy_coef,eval_quality_best_so_far,eval_reward_best_so_far
1,21.335844994255723,0.6908869291372873,100.0,100.0,100.0,100.0,100.0,0.6894255694232515,0.41732116467198155,0.9584437620291216,0.18255128087019581,0.9355324146744279,0.7129586317754593,0.37926982354417577,0.0,18.188354200000003,41.94139145425045,73.28577257234429,0,100,100,1.5,1182,66.17552709579468,0.35,0.72,0.0,[],1,19.861058195329388,0.6924060989562003,100.0,100.0,0.6873638769437934,0.4252650338285385,0.965462674026735,0.15979587602268538,0.9085952635336567,0.7133936065871812,0.36196690113483365,8.580320416666668,105.90533158337064,320.3249946346113,48,100.0,0,[],0.41775,0.011875,0.6924060989562003,19.861058195329388
2,21.313750710779313,0.6910150089702245,100.0,100.0,100.0,100.0,100.0,0.6866032203714911,0.4197478530085925,0.9578542973097002,0.1753163607684165,0.928841779453401,0.7118984500930334,0.36856139263886734,0.0,16.4594496,42.604442966051764,71.66865595641866,0,100,100,4.25,1149,66.1270158290863,0.34475,0.7290322580645161,0.0,[],2,19.645386025494503,0.696255820646912,100.0,100.0,0.6873732233286248,0.4252521869897083,0.9656057873104094,0.17447949214143543,0.906985323023218,0.7132659893700728,0.35909572452246236,7.951807916666667,107.75380826261325,325.290040262189,48,100.0,0,[],0.4155,0.01175,0.696255820646912,19.861058195329388
3,21.3634215617959,0.694736854513212,100.0,100.0,100.0,100.0,100.0,0.6883473972881639,0.4194184862897691,0.9584479328958637,0.20090720624706607,0.9324485364583,0.7139436901602814,0.3785057669235421,0.0,17.720764199999998,42.59660779003753,73.15407660873461,0,100,100,8.916666666666666,1093,65.89413380622864,0.33957875,0.7380645161290322,0.0,[],3,19.867813858341464,0.6928080380470497,100.0,100.0,0.687309690486264,0.4252478961171146,0.9653589546039824,0.158767036165691,0.9090333095329681,0.7133690704433647,0.35905010850009766,8.299307916666667,108.7172362012249,322.1539923474483,48,100.0,0,[],0.41325,0.011625,0.696255820646912,19.867813858341464
4,21.324381994780502,0.6910842842214636,100.0,100.0,100.0,100.0,100.0,0.6877165988045573,0.4176755741328136,0.9588580379477848,0.17115353255748925,0.9305110123144626,0.7111957567177641,0.3629166491102593,0.0,16.389125000000003,43.03261723362084,71.54540716754127,0,100,100,12.333333333333332,1052,66.5761570930481,0.33448506875,0.7470967741935484,0.0,[],4,19.77822149417437,0.6919371358051155,100.0,100.0,0.6873475379190291,0.4252650338285385,0.965269378369619,0.1581874893744358,0.9079531807871465,0.7133993612014707,0.3622982065549531,8.541039166666666,107.94363366484401,344.4518837745272,48,100.0,0,[],0.411,0.0115,0.696255820646912,19.867813858341464
5,21.33444929516267,0.6970750341419367,100.0,100.0,100.0,100.0,100.0,0.6867614029405761,0.42162214682329335,0.9576321227024487,0.21204416639291412,0.9257716060349265,0.714063658182136,0.3817722617399444,0.0,16.1917454,42.652147787594004,72.15869991014188,0,100,100,18.166666666666668,982,65.86288785934448,0.32946779271875,0.7561290322580645,0.0,[],5,19.779501712927775,0.6930010856255477,100.0,100.0,0.687294681733326,0.42524115739735663,0.9652563858800169,0.16076174524337328,0.9083918699665419,0.713331635450214,0.3604769317961783,8.262125,108.41115050728452,325.5350200063912,48,100.0,0,[],0.40875,0.011375,0.696255820646912,19.867813858341464
6,22.535963731719548,0.7047422518262243,100.0,100.0,100.0,100.0,100.0,0.687857695488944,0.42061382991198115,0.9809196074773512,0.21922103043829988,0.9606697534610498,0.7148987937085421,0.3965151114787714,0.0,12.73384745,137.28064588767361,345.64017541670177,0,400,400,19.020833333333336,3887,833.7314019203186,0.3245257758279687,0.7651612903225806,0.0,[],6,19.77822149417437,0.6919371358051155,100.0,100.0,0.6873475379190291,0.4252650338285385,0.965269378369619,0.1581874893744358,0.9079531807871465,0.7133993612014707,0.3622982065549531,8.541039166666666,109.99740118247955,346.58671970049903,48,100.0,0,[],0.4065,0.01125,0.696255820646912,19.867813858341464
7,22.042731858711058,0.6958042382328335,100.0,100.0,100.0,100.0,100.0,0.687569325006971,0.4194355501975056,0.9761799352011289,0.17597956233277715,0.9551407832845463,0.7134625949879045,0.37772652281484753,0.0,13.8535237,71.5528909302581,242.59557238288753,0,400,400,19.3125,3873,437.25615310668945,0.31965788919054916,0.7741935483870968,0.0,[],7,19.77822149417437,0.6919371358051155,100.0,100.0,0.6873475379190291,0.4252650338285385,0.965269378369619,0.1581874893744358,0.9079531807871465,0.7133993612014707,0.3622982065549531,8.541039166666666,52.717582179058006,166.20347016258165,48,100.0,0,[],0.40425,0.011125,0.696255820646912,19.867813858341464
8,22.176512752761266,0.7013651876966104,100.0,100.0,100.0,100.0,100.0,0.6872531297888407,0.4222563953961396,0.9722212689501707,0.20918815129142082,0.9505955606158264,0.7147046788863747,0.38815120982909507,0.0,13.872898150000001,39.116904857522364,96.2259135798012,0,400,400,20.895833333333336,3797,248.21076798439026,0.3148630208526909,0.7832258064516129,0.0,[],8,19.75810649085574,0.6917076736584252,100.0,100.0,0.6873402918642211,0.4252650338285385,0.9652137831970272,0.15783083543536283,0.9078151544696397,0.7133993612014707,0.3632355399683595,8.541380416666668,52.701419850766094,161.26417097544618,48,100.0,0,[],0.40199999999999997,0.011,0.696255820646912,19.867813858341464
9,22.608367911372984,0.705588561327723,100.0,100.0,100.0,100.0,100.0,0.6878440948594365,0.42062406435993277,0.9812351634309254,0.2190126232548316,0.9633520025455501,0.7151122020834952,0.3924970107723857,0.0,12.991501699999999,66.3716395601811,171.98791185015574,0,400,400,21.16666666666667,3784,417.6879560947418,0.31014007553990053,0.792258064516129,0.0,[],9,19.77822149417437,0.6919371358051155,100.0,100.0,0.6873475379190291,0.4252650338285385,0.965269378369619,0.1581874893744358,0.9079531807871465,0.7133993612014707,0.3622982065549531,8.541039166666666,53.070378381991965,171.60878113332728,48,100.0,0,[],0.39975,0.010875,0.696255820646912,19.867813858341464
10,22.562950473289224,0.7043920922917347,100.0,100.0,100.0,100.0,100.0,0.6878635893315643,0.4206178863996244,0.9809116729635994,0.21902474673734468,0.9618519446699156,0.714894491994998,0.39856865125438323,0.0,12.963521550000003,66.10875470097199,169.80927407716072,0,400,400,22.270833333333336,3731,414.5053758621216,0.30548797440680203,0.8012903225806451,0.0,[],10,19.77822149417437,0.6919371358051155,100.0,100.0,0.6873475379190291,0.4252650338285385,0.965269378369619,0.1581874893744358,0.9079531807871465,0.7133993612014707,0.3622982065549531,8.541039166666666,51.14756712656445,154.81356431118908,48,100.0,0,[],0.39749999999999996,0.010750000000000001,0.696255820646912,19.867813858341464
